row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
all,all,1347,173,-0.050462944442171004,0.061205218766481044,0.40966255385284633,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,0.9120982418532466,1.3877580308611601,0.5110228321809134
all,q20 (≥ 0.144),1077,170,-0.035154389913744866,0.07711406965652938,0.6484797428240701,1077,-0.07129685510338736,0.036759550084140835,0.052434833445990585,1.3429616174080086,4.979586345793856,0.7873961315210507
all,q40 (≥ 0.405),809,147,-0.026481122896962223,0.09491383283555427,0.7802435024937049,809,-0.08259890302898712,0.04421676354194732,0.061755802012374315,-15.051111992339766,54.27918625926216,0.7815569220982667
all,q60 (≥ 0.705),542,89,0.06156140308438671,0.11792827398523992,0.6016535390799712,542,-0.1593575848962559,0.08554486963132094,0.06248283926399296,-3.1620772053991804,3.9803559514422187,0.42695055093384965
all,q80 (≥ 0.9),275,29,0.09873517407673149,0.1898681462438829,0.603049853268607,275,-0.27352539274730964,0.14318402642685213,0.05609374665103389,0.14312625754775343,28.370782952407794,0.9959748115892224
q20 (≥ 0.018),all,1081,152,-0.071052420988930165,0.06544680079520541,0.27763318185118185,1081,-0.06471106403744502,0.035830020061891454,0.07090941259708605,0.5084938479692162,0.5503160309110502,0.35548457933896027
q20 (≥ 0.018),q20 (≥ 0.144),991,151,-0.06077152664577612,0.07544592664201963,0.4205324852045276,991,-0.07168791618358314,0.03775380171547683,0.05758730213962605,0.592862760603603,0.7791654212174969,0.44672002487726636
q20 (≥ 0.018),q40 (≥ 0.405),743,128,-0.06425571113845113,0.09958070088472296,0.5187569652854129,743,-0.08641315905503122,0.051603615393487824,0.09402132020541956,1.7358779488293496,9.074136340468149,0.8482909351901972
q20 (≥ 0.018),q60 (≥ 0.705),505,77,0.01200525879702763,0.1311811960018744,0.9270821060628401,505,-0.1781826059043192,0.08844210713734366,0.043938116198453905,-3.685640803459373,6.474887617798696,0.5692062969250496
q20 (≥ 0.018),q80 (≥ 0.9),258,28,0.09598835473386395,0.1994332931896505,0.6302993393473767,258,-0.28600585521580835,0.14689260302674706,0.05152987288473228,3.5022358252601737,54.86604777023568,0.9491036167273061
q40 (≥ 0.09),all,810,126,-0.03812240710589945,0.08132379028330441,0.6392318135322073,810,-0.07769427421690876,0.04686706061262909,0.09736619446245136,1.2355250815348513,2.767456209460647,0.6552737210637817
q40 (≥ 0.09),q20 (≥ 0.144),804,126,-0.044670964901434046,0.08172601997864852,0.5846575850030634,804,-0.08125746657445793,0.04727632762526155,0.08565497732692029,1.19524587476203,2.4627092888423694,0.6274367558031582
q40 (≥ 0.09),q40 (≥ 0.405),653,115,-0.07810584189542266,0.10479186590117796,0.45606463370212086,653,-0.09685503950247118,0.0515886786387384,0.060456776462606984,1.857870558715017,5.095250874478542,0.715389195385778
q40 (≥ 0.09),q60 (≥ 0.705),460,73,-0.008319160105013823,0.14420588866110298,0.9539959879836261,460,-0.18935595798334248,0.08933393633713513,0.03403625288501638,-4.921008320935834,8.256695323615038,0.5511737777868722
q40 (≥ 0.09),q80 (≥ 0.9),239,25,0.09857210827157309,0.19546745997679743,0.6140582402719856,239,-0.29131627938575394,0.15072077101920178,0.05325824587976252,-1.2819885822087418,10.572618547913489,0.9034886332212806
q60 (≥ 0.199),all,539,89,-0.0791614384316979,0.10095749862045747,0.43297757790562824,539,-0.06762748017404276,0.055238311274766604,0.22084443136729467,0.6632255182946202,1.3113443212217921,0.6130251342983857
q60 (≥ 0.199),q20 (≥ 0.144),539,89,-0.0791614384316979,0.10095749862045747,0.43297757790562824,539,-0.06762748017404276,0.055238311274766604,0.22084443136729467,0.6632255182946202,1.3113443212217921,0.6130251342983857
q60 (≥ 0.199),q40 (≥ 0.405),497,84,-0.07273045265372294,0.12399012286682429,0.5574840498022509,497,-0.08410224862807132,0.05766075373456036,0.14468348106582157,0.8395247117404439,2.183991841048612,0.7006825949879293
q60 (≥ 0.199),q60 (≥ 0.705),358,52,-0.017192732322511423,0.17090811004387385,0.9198708930484997,358,-0.2124849259455135,0.10092962282236721,0.03526710611158623,-6.724920750493721,20.15801946394356,0.7386737261195218
q60 (≥ 0.199),q80 (≥ 0.9),194,18,8.574464076441662e-4,0.17240920419280972,0.9960318798910393,194,-0.2951946224071207,0.18020233204877267,0.10139483704565548,25.49951256039239,65.22250388457438,0.6958254151031675
q80 (≥ 0.437),all,271,43,-0.2654568010503577,0.20386126804816324,0.1928670402036326,271,-0.07521352964944585,0.09690321944395909,0.43764765544098677,0.3310715393813792,0.7420899391744454,0.6555004674736685
q80 (≥ 0.437),q20 (≥ 0.144),271,43,-0.2654568010503577,0.20386126804816324,0.1928670402036326,271,-0.07521352964944585,0.09690321944395909,0.43764765544098677,0.3310715393813792,0.7420899391744454,0.6555004674736685
q80 (≥ 0.437),q40 (≥ 0.405),271,43,-0.2654568010503577,0.20386126804816324,0.1928670402036326,271,-0.07521352964944585,0.09690321944395909,0.43764765544098677,0.3310715393813792,0.7420899391744454,0.6555004674736685
q80 (≥ 0.437),q60 (≥ 0.705),235,33,-0.06087873865990151,0.1949664708904793,0.7548487501515051,235,-0.16492144521415927,0.12455476620107504,0.18547388991930888,1.1785802724135148,15.878635574147385,0.940831927514293
q80 (≥ 0.437),q80 (≥ 0.9),143,13,0.11389075712397151,0.27844307941367036,0.6825197950659343,143,-0.33016054850211385,0.24268108736163904,0.17368096701026572,-1.2686428373981826,2.6839569729154915,0.6364441413341804
